Stock#,Year,Make,Model,Trim,N/U/T,Status,Age,Ext. Color,Vin,Miles,Location,DMS Status,Price
SLE51380,2025,FORD,RANGER,XLT 4X4 SUPERCREW 5 FT. BOX 128.7 IN. WB,N,Available,38,OXFORD WHITE,1FTER4HH0SLE51380,5, ,T,41105
SLA91321,2025,FORD,BRONCO,RAPTOR 4DR 4X4,N,Available,85,OXFORD WHITE,1FMEE0RR3SLA91321,5, ,S,87080
,2017,KIA,FORTE, ,T,Appraised,, ,3KPFL4A73HE078456,142891, ,,0
SGC60265A,2019,SUBARU,OUTBACK,3.6R LIMITED (CVT) 4DR ALL-WHEEL DRIVE,U,Available,39,TUNGSTEN METALLIC,4S4BSENC1K3395810,63357, ,S,23655
FA1307,2024,TOYOTA,RAV4 HYBRID,LE (CVT) 4DR ALL-WHEEL DRIVE,U,Working,78,ICE CAP,2T3MWRFV7RW232207,, ,S,29685
,2019,FORD,F-150,LARIAT 4X4 SUPERCREW CAB STYLESIDE 5.5 FT. BOX 145 IN. WB,T,Appraised,,BLACK,1FTEW1E50KFA20456,162488, ,,0
P,2022,CHEVROLET,SILVERADO 2500HD,LTZ 4X4 CREW CAB 6.75 FT. BOX 158.9 IN. WB,U,Available,17,SUMMIT WHITE,2GC4YPEY3N1229415,86685, ,G,52352
FA1304,2024,BMW,228 GRAN COUPE,I SDRIVE (A8) 4DR FRONT-WHEEL DRIVE,U,Available,84,ALPINE WHITE,WBA53AK03R7R50872,19432, ,S,29977
SKF07695,2025,FORD,F-150, ,N,Available,36,OXFORD WHITE,1FTFW3L57SKF07695,5, ,S,62710
,2021,GMC,SIERRA 2500HD,AT4 4X4 CREW CAB 6.75 FT. BOX 158.9 IN. WB,T,Appraised,, ,1GT49PEY9MF315591,65552, ,,0
FA1281,2023,NISSAN,ROGUE, ,U,Available,117,SUPER BLACK,5N1BT3BA0PC906712,56311, ,S,19703
SRF56650,2025,FORD,BRONCO SPORT,OUTER BANKS 4DR 4X4,N,Available,19,AZURE GRAY META,3FMCR9CN4SRF56650,5, ,T,39485
,2014,HONDA,ODYSSEY,TOURING ELITE (A6) PASSENGER VAN,T,Appraised,, ,5FNRL5H92EB075967,126000, ,,0
,2018,RAM,1500, ,T,Appraised,, ,3C6JR6EG8JG219456,37885, ,,0
2767U0G,2026,FORD,ESCAPE,ACTIVE 4DR FRONT-WHEEL DRIVE,N,Available,,CARBONIZED GRAY,1FMCU0GNXTUA33230,, ,O,33185
O811U9N,2026,FORD,ESCAPE,ST-LINE SELECT 4DR ALL-WHEEL DRIVE,N,Available,,AGATE BLACK MET,1FMCU9NA1TUA20015,, ,O,38245
FA1314,2024,BUICK,ENCORE GX,SPORT TOURING 4DR FRONT-WHEEL DRIVE,U,Available,61,SUMMIT WHITE,KL4AMDSL1RB085935,46931, ,T,21120
SRA80752,2025,FORD,MAVERICK,XLT FRONT-WHEEL DRIVE SUPERCREW 4.5 FT. BOX 121.1 IN. WB,N,Available,,CARBONIZED GRAY,,, ,,32980
R009F1K,2025,FORD,F-150,XL 4X2 REGULAR CAB 8 FT. BOX 141 IN. WB,S,Available,,OXFORD WHITE,1FTMF1KP4SKF67058,, ,O,40025
N020K8D,2026,FORD,EXPLORER,ACTIVE 4DR 4X4,N,Available,,VAPOR BLUE,1FMUK8DH4TGA48067,, ,O,51355
N113W5L,2025,FORD,F-150, ,N,Available,3,STAR WHITE META,1FTFW5LDXSFC69627,, ,O,74495
N027W5L,2025,FORD,F-150, ,N,Available,24,RAPID RED MET T,1FTFW5L58SFC56125,, ,O,76280
SFC01580,2025,FORD,F-150, ,N,Available,19,AGATE BLACK MET,1FTFW5L5XSFC01580,5, ,T,72600
SRE49964,2025,FORD,BRONCO SPORT,HERITAGE 4DR 4X4,N,Available,148,GRAY METALLIC,3FMCR9GN4SRE49964,5, ,S,36765
TEC06708,2026,FORD,F-250, ,N,Available,59,RUBY RED METALLIC TINTED CLEARCOAT,1FT8W2BM3TEC06708,5, ,S,81540
N811U9N,2026,FORD,ESCAPE,ST-LINE SELECT 4DR ALL-WHEEL DRIVE,N,Available,,CARBONIZED GRAY,1FMCU9NA9TUA15595,, ,O,36555
